"Model","Sample","RMSE","RÂ²","MAE"
"LM","Test",8.49090703440778,0.891497621156428,6.5483194399982
"GBRT","Train",4.79417468267502,0.966511938816648,3.3491114836397
"GBRT","Test",4.70558705260873,0.967084403857391,3.28373662002404
"QRF","Train",5.61516101144181,0.954517486541023,3.7212237796971
"QRF","Test",5.55615037234983,0.954819428738669,3.60455473094821
"SVM","Train",4.68631593399276,0.967530619051647,3.33520349769895
"SVM","Test",4.71094758429457,0.966688639593983,3.28581333782292
"BRNN","Train",5.14676355802566,0.960817719450575,3.75276162755345
"BRNN","Test",5.05357732794815,0.961661497622885,3.66019255152065
